"가구별일련번호","가구구분코드","노인가구여부","가구주_연령","주택소유유무","소득"
00174,1,0,36,2,5253846
00174,1,0,44,1,6740757
00174,2,1,88,2,1069760
00175,1,0,26,2,4161120
00175,1,0,54,1,4071937
00175,2,0,63,1,2659127
00175,2,1,74,2,611427
00176,1,0,31,2,2292330
00176,1,0,51,2,5969725
00176,1,0,53,1,3825347
00176,2,0,56,2,852107
00177,1,0,52,2,3400000
00177,1,0,57,1,7220490
00177,1,0,70,1,9363607
00177,2,0,35,2,761500
00178,1,0,54,1,3604760
00178,1,0,61,1,4000000
00178,1,0,65,1,8220114
00178,2,0,55,2,4078374
00179,1,0,30,2,2405000
00179,1,0,70,1,10123410
00179,2,0,64,1,1739133
00179,2,1,88,2,1069760
00180,1,0,28,1,3174440
00180,1,0,60,2,1482473
00180,1,0,61,1,2266667
00180,2,1,74,2,604760
00181,1,0,54,1,4123317
00181,1,0,58,2,2535073
00181,2,0,56,2,807160
00181,2,0,62,2,6427820
00182,1,0,50,2,4884275
00182,1,0,52,2,13199193
00182,1,0,52,2,4100000
00182,2,0,26,2,1201233
00183,1,0,25,2,2333333
00183,1,0,55,2,4963330
00183,1,0,57,1,10148157
00183,1,0,63,1,10825000
00184,1,0,26,2,1651275
00184,1,0,38,2,3681117
00184,1,0,43,2,5091670
00184,2,0,63,2,6427820
00185,1,0,24,2,3008840
00185,1,0,29,2,4059873
00185,2,0,28,2,4250000
00185,2,0,62,1,4986737
00186,1,0,31,2,4470960
00186,1,0,38,2,4027967
00186,2,0,28,2,3079995
00186,2,0,51,1,6386333
00187,1,0,39,1,2400000
00187,1,0,46,1,5719000
00187,2,0,28,2,13000000
00187,2,0,33,2,0
00188,1,0,19,2,5300000
00188,1,0,26,2,1059000
00188,1,0,28,2,2477422
00188,1,0,37,2,6958297
00189,1,0,25,2,1800000
00189,1,0,25,2,2320000
00189,1,0,30,1,2389590
00189,1,0,40,2,8004467
00190,1,0,33,2,500000
00190,1,0,38,2,2762033
00190,1,0,38,2,3756946
00190,2,1,68,2,2072540
00191,1,0,19,2,5300000
00191,1,0,31,2,4355115
00191,2,0,61,2,8337260
00191,2,0,62,1,1532223
00192,1,0,34,2,3603960
00192,1,0,60,2,2195310
00192,2,0,33,2,0
00192,2,0,54,2,25000
00193,1,0,19,2,5300000
00193,1,0,30,2,2255000
00193,1,0,34,2,3021154
00193,1,0,58,2,2516927
00194,1,0,51,2,6479018
00194,1,0,62,1,9475000
00194,2,0,27,2,500000
00194,2,0,51,2,4023000
00195,1,0,34,2,10107500
00195,1,0,63,1,10550000
00195,1,0,63,1,10953333
00195,2,0,61,1,1842667
00196,1,0,36,2,7400990
00196,1,0,43,2,5624170
00196,1,0,43,2,5909347
00196,2,0,62,1,1650667
00197,1,0,36,2,4333400
00197,2,0,29,2,3390000
00197,2,0,44,2,4817110
00197,2,1,67,1,6296333
00198,1,0,38,2,3841667
00198,2,0,28,2,2726820
00198,2,0,52,1,6666667
00198,2,0,61,2,5785420
00199,1,0,39,1,12195061
00199,1,0,39,2,2917000
00199,2,1,68,1,6036667
00199,2,1,68,2,2217540
00200,2,0,45,2,5000000
00200,2,0,61,2,4460420
00200,2,0,61,2,7957740
00200,2,0,62,1,1958000
00201,1,0,35,2,3156085
00201,1,0,37,2,6151057
00201,1,0,61,1,8085000
00201,2,0,54,2,0
00202,1,0,31,2,2020000
00202,1,0,37,2,5435190
00202,1,0,60,1,1043760
00202,1,0,71,1,9600000
00203,1,0,38,1,9155517
00203,1,0,60,1,1423031
00203,2,0,29,2,2976000
00203,2,1,77,1,0
00204,1,0,28,2,602580
00204,1,0,43,2,10109092
00204,2,0,61,1,1646667
00204,2,1,76,2,0
00205,1,0,30,2,4788745
00205,1,0,35,1,345000
00205,1,0,43,2,45929782
00205,1,1,68,1,1400000
00206,1,0,41,2,6620733
00206,1,0,49,1,3030663
00206,1,0,53,1,5732020
00206,2,0,61,1,2114667
00207,1,0,31,2,3919135
00207,1,0,47,2,6055533
00207,2,0,62,1,2072445
00207,2,0,62,2,1102000
00208,1,0,38,2,3415033
00208,1,0,39,2,2795825
00208,1,0,46,2,7145180
00208,2,0,45,2,4042572
00209,1,0,58,1,5091700
00209,1,0,61,2,8684280
00209,2,0,52,1,6333333
00209,2,0,60,2,2298960
00210,1,0,71,1,9668600
00210,1,1,66,2,2996000
00210,2,0,54,2,0
00210,2,1,85,2,830960
00211,1,0,37,2,5477817
00211,1,0,38,1,6893390
00211,1,0,57,2,2300000
00211,1,1,68,2,2266760
00212,1,0,60,1,702260
00212,1,1,73,2,4103980
00212,2,0,55,2,1764115
00212,2,0,61,1,1070000
00213,1,0,35,1,901700
00213,1,0,55,2,3637655
00213,2,0,33,2,1043296
00213,2,1,77,1,0
00214,1,0,43,2,2300000
00214,1,0,43,2,9150000
00214,1,0,49,1,3137330
00214,1,0,71,1,9650000
00215,1,0,23,2,835000
00215,1,0,27,2,1922623
00215,1,0,47,2,6638100
00215,1,1,68,1,1400000
00216,1,0,42,1,21818350
00216,1,0,47,2,6252100
00216,1,0,53,1,4982020
00216,2,0,49,2,1219000
00217,1,0,42,1,15182967
00217,2,0,61,2,447795
00217,2,0,62,2,987000
00217,2,1,71,1,3377673
00218,1,0,38,2,1000000
00218,1,0,48,1,6000000
00218,2,0,37,2,3750000
00218,2,1,70,1,3090911
00219,1,0,34,1,3263000
00219,1,0,43,2,6843373
00219,1,0,48,1,6000000
00219,2,0,60,2,4763547
00220,1,0,40,2,3902172
00220,1,0,57,2,2700000
00220,1,0,58,1,4191700
00220,1,1,66,2,3100623
00221,1,1,68,2,2212760
00221,2,0,43,2,4100000
00221,2,0,55,2,1948688
00221,2,1,85,2,431080
00222,1,0,52,2,32756510
00222,1,1,79,2,3525540
00222,2,0,28,2,1801060
00222,2,0,28,2,2057030
00223,1,0,42,1,13373590
00223,1,0,43,2,2285740
00223,1,0,43,2,2712407
00223,1,0,55,2,3000697
00224,1,0,39,1,9449553
00224,1,0,39,2,2200623
00224,2,0,77,1,1600000
00224,2,0,77,1,800000
00225,1,0,23,2,1115000
00225,1,0,23,2,1547800
00225,1,0,38,2,8400250
00225,2,0,27,2,1599290
00226,1,0,27,2,2861400
00226,1,0,53,2,16080477
00226,2,0,29,1,5300953
00226,2,0,50,2,360720
00227,1,0,23,2,2373060
00227,1,0,32,2,4456000
00227,1,0,41,1,10010000
00227,1,0,62,2,2020000
00228,1,0,26,2,2414148
00228,1,0,32,2,5380430
00228,1,0,39,2,7981800
00228,2,0,44,2,2970860
00229,1,0,28,2,3893960
00229,1,0,42,1,14725517
00229,1,0,45,1,6500000
00229,1,0,53,1,15612841
00230,1,0,41,1,10033333
00230,1,0,46,1,8300000
00230,1,0,49,2,13965277
00230,2,1,71,1,3377673
00231,1,0,40,2,8081800
00231,1,0,42,1,14711923
00231,1,0,42,1,9508706
00231,1,0,48,1,6150000
00232,1,0,39,1,9382886
00232,1,0,45,1,6550000
00232,1,0,64,1,8359720
00232,2,0,43,1,2200000
